bid,bname,taxa,
ENA|CP003049|CP003049.1,Francisella tularensis TI0902 complete genome. [13-NOV-2015],Francisella tularensis,
ENA|CP003048|CP003048.1,Francisella tularensis TIGB03 complete genome. [13-NOV-2015],Francisella tularensis,
ENA|CP000608|CP000608.1,Francisella tularensis subsp. tularensis WY96-3418 complete genome. [24-FEB-2017],Francisella tularensis,
ENA|CT573213|CT573213.2,Frankia alni str. ACN14A chromosome complete sequence. [24-FEB-2017],Frankia alni,
ENA|CP000249|CP000249.1,Frankia sp. CcI3 complete genome. [24-FEB-2017],Frankia sp. CcI3,
ENA|CP000820|CP000820.1,Frankia sp. EAN1pec complete genome. [24-FEB-2017],Frankia sp. EAN1pec,
ENA|CP002299|CP002299.1,Frankia sp. EuI1c complete genome. [24-FEB-2017],Frankia sp. EuI1c,
ENA|CP002801|CP002801.1,Frankia symbiont of Datisca glomerata complete genome. [24-FEB-2017],Frankia symbiont of Datisca glomerata,
ENA|CP003350|CP003350.1,Frateuria aurantia DSM 6220 complete genome. [24-FEB-2017],Frateuria aurantia,
ENA|FP929056|FP929056.1,Fretibacterium fastidiosum draft genome [24-FEB-2017],Fretibacterium fastidiosum,
ENA|CP009056|CP009056.1,Frischella perrara strain PEB0191 complete genome. [24-FEB-2017],Frischella perrara,
ENA|CP007062|CP007062.1,Fusobacterium nucleatum subsp. animalis 7_1 complete genome. [24-FEB-2017],Fusobacterium nucleatum,
ENA|AE009951|AE009951.2,Fusobacterium nucleatum subsp. nucleatum ATCC 25586 complete genome. [24-FEB-2017],Fusobacterium nucleatum,
ENA|CM000440|CM000440.1,Fusobacterium nucleatum subsp. polymorphum ATCC 10953 chromosome whole genome shotgun sequence. [28-AUG-2009],Fusobacterium nucleatum,
ENA|CP003700|CP003700.1,Fusobacterium nucleatum subsp. vincentii 3_1_36A2 complete genome. [24-FEB-2017],Fusobacterium nucleatum,
ENA|CP002667|CP002667.1,Gallibacterium anatis UMN179 complete genome. [24-MAR-2017],Gallibacterium anatis,
ENA|CP002159|CP002159.1,Gallionella capsiferriformans ES-2 complete genome. [24-FEB-2017],Gallionella capsiferriformans,
ENA|FP929140|FP929140.1,gamma proteobacterium HdN1 complete genome [24-FEB-2017],gamma proteobacterium HdN1,
ENA|CP001849|CP001849.1,Gardnerella vaginalis 409-05 complete genome. [24-FEB-2017],Gardnerella vaginalis,
ENA|AP012332|AP012332.1,Gardnerella vaginalis ATCC 14018 = JCM 11026 DNA complete genome. [11-NOV-2016],Gardnerella vaginalis,
ENA|CP002104|CP002104.1,Gardnerella vaginalis ATCC 14019 complete genome. [24-FEB-2017],Gardnerella vaginalis,
ENA|CP002725|CP002725.1,Gardnerella vaginalis HMP9231 complete genome. [24-FEB-2017],Gardnerella vaginalis,
ENA|CP003591|CP003591.1,Geitlerinema sp. PCC 7407 complete genome. [24-FEB-2017],Geitlerinema sp. PCC 7407,
ENA|AP014815|AP014815.1,Geminocystis sp. NIES-3708 DNA complete genome. [24-FEB-2017],Geminocystis sp. NIES-3708,
ENA|AP014821|AP014821.1,Geminocystis sp. NIES-3709 DNA complete genome. [24-FEB-2017],Geminocystis sp. NIES-3709,
ENA|AP009153|AP009153.1,Gemmatimonas aurantiaca T-27 DNA complete genome. [24-FEB-2017],Gemmatimonas aurantiaca,
ENA|CP010311|CP010311.1,Geoalkalibacter subterraneus strain Red1 complete genome. [24-FEB-2017],Geoalkalibacter subterraneus,
ENA|BA000043|BA000043.1,Geobacillus kaustophilus HTA426 DNA complete genome. [24-FEB-2017],Geobacillus kaustophilus,
ENA|CP002050|CP002050.1,Geobacillus sp. C56-T3 complete genome. [11-NOV-2016],Geobacillus sp. C56-T3,
ENA|CP004008|CP004008.1,Geobacillus sp. GHH01 complete genome. [24-FEB-2017],Geobacillus sp. GHH01,
ENA|CP001638|CP001638.1,Geobacillus sp. WCH70 complete genome. [24-FEB-2017],Geobacillus sp. WCH70,
ENA|CP002293|CP002293.1,Geobacillus sp. Y4.1MC1 complete genome. [24-FEB-2017],Geobacillus sp. Y4.1MC1,
ENA|CP002442|CP002442.1,Geobacillus sp. Y412MC52 complete genome. [24-FEB-2017],Geobacillus sp. Y412MC52,
ENA|CP001794|CP001794.1,Geobacillus sp. Y412MC61 complete genome. [24-FEB-2017],Geobacillus sp. Y412MC61,
ENA|CP001795|CP001795.1,Geobacillus sp. Y412MC61 complete sequence. [29-MAY-2015],Geobacillus sp. Y412MC61,
ENA|CP000557|CP000557.1,Geobacillus thermodenitrificans NG80-2 complete genome. [24-FEB-2017],Geobacillus thermodenitrificans,
ENA|CP002835|CP002835.1,Geobacillus thermoglucosidasius C56-YS93 complete genome. [24-FEB-2017],Geobacillus thermoglucosidasius,
ENA|CP003125|CP003125.1,Geobacillus thermoleovorans CCB_US3_UF5 complete genome. [24-FEB-2017],Geobacillus thermoleovorans,
ENA|CP001124|CP001124.1,Geobacter bemidjiensis Bem complete genome. [24-FEB-2017],Geobacter bemidjiensis,
ENA|CP001390|CP001390.1,Geobacter daltonii FRC-32 complete genome. [24-FEB-2017],Geobacter daltonii,
ENA|CP001089|CP001089.1,Geobacter lovleyi SZ complete genome. [24-FEB-2017],Geobacter lovleyi,
ENA|CP000148|CP000148.1,Geobacter metallireducens GS-15 complete genome. [24-FEB-2017],Geobacter metallireducens,
ENA|CP009788|CP009788.1,Geobacter pickeringii strain G13 complete genome. [24-FEB-2017],Geobacter pickeringii,
ENA|CP002479|CP002479.1,Geobacter sp. M18 complete genome. [24-FEB-2017],Geobacter sp. M18,
ENA|CP001661|CP001661.1,Geobacter sp. M21 complete genome. [24-FEB-2017],Geobacter sp. M21,
ENA|CP002031|CP002031.1,Geobacter sulfurreducens KN400 complete genome. [09-SEP-2016],Geobacter sulfurreducens,
ENA|AE017180|AE017180.2,Geobacter sulfurreducens PCA complete genome. [24-FEB-2017],Geobacter sulfurreducens,
ENA|CP000698|CP000698.1,Geobacter uraniireducens Rf4 complete genome. [24-FEB-2017],Geobacter uraniireducens,
ENA|CP001867|CP001867.1,Geodermatophilus obscurus DSM 43160 complete genome. [24-FEB-2017],Geodermatophilus obscurus,
ENA|CP007445|CP007445.1,Gilliamella apicola strain wkB1 complete genome. [24-FEB-2017],Gilliamella apicola,
ENA|CP003060|CP003060.1,Glaciecola nitratireducens FR1064 complete genome. [24-FEB-2017],Glaciecola nitratireducens,
ENA|CP002526|CP002526.1,Glaciecola sp. 4H-3-7+YE-5 complete genome. [24-FEB-2017],Glaciecola sp. 4H-3-7+YE-5,
ENA|CP003587|CP003587.1,Gloeobacter kilaueensis JS1 complete genome. [24-FEB-2017],Gloeobacter kilaueensis,
ENA|BA000045|BA000045.2,Gloeobacter violaceus PCC 7421 DNA complete genome. [24-FEB-2017],Gloeobacter violaceus,
ENA|CP003646|CP003646.1,Gloeocapsa sp. PCC 7428 complete genome. [24-FEB-2017],Gloeocapsa sp. PCC 7428,
ENA|AM889285|AM889285.1,Gluconacetobacter diazotrophicus PAl 5 complete genome [24-FEB-2017],Gluconacetobacter diazotrophicus,
ENA|CP001189|CP001189.1,Gluconacetobacter diazotrophicus PAl 5 complete genome. [24-FEB-2017],Gluconacetobacter diazotrophicus,
ENA|CP000009|CP000009.1,Gluconobacter oxydans 621H complete genome. [24-FEB-2017],Gluconobacter oxydans,
ENA|CP004373|CP004373.1,Gluconobacter oxydans DSM 3504 complete genome. [24-FEB-2017],Gluconobacter oxydans,
ENA|CP003926|CP003926.1,Gluconobacter oxydans H24 complete genome. [24-FEB-2017],Gluconobacter oxydans,
ENA|CP001802|CP001802.1,Gordonia bronchialis DSM 43247 complete genome. [24-FEB-2017],Gordonia bronchialis,
ENA|CP003119|CP003119.1,Gordonia polyisoprenivorans VH2 complete genome. [24-FEB-2017],Gordonia polyisoprenivorans,
ENA|CP002907|CP002907.1,Gordonia sp. KTR9 complete genome. [24-FEB-2017],Gordonia sp. KTR9,
ENA|FP929047|FP929047.1,Gordonibacter pamelaeae 7-10-1-b draft genome. [24-FEB-2017],Gordonibacter pamelaeae,
ENA|CU207366|CU207366.1,Gramella forsetii KT0803 complete circular genome. [24-FEB-2017],Gramella forsetii,
ENA|CP000394|CP000394.1,Granulibacter bethesdensis CGDNIH1 complete genome. [24-FEB-2017],Granulibacter bethesdensis,
ENA|CP003183|CP003183.2,Granulibacter bethesdensis CGDNIH2 complete genome. [03-DEC-2016],Granulibacter bethesdensis,
ENA|CP003181|CP003181.2,Granulibacter bethesdensis CGDNIH3 complete genome. [24-FEB-2017],Granulibacter bethesdensis,
ENA|CP003182|CP003182.2,Granulibacter bethesdensis CGDNIH4 complete genome. [03-DEC-2016],Granulibacter bethesdensis,
ENA|CP003130|CP003130.1,Granulicella mallensis MP5ACTX8 complete genome. [24-FEB-2017],Granulicella mallensis,
ENA|CP002480|CP002480.1,Granulicella tundricola MP5ACTX9 complete genome. [24-FEB-2017],Granulicella tundricola,
ENA|CP007142|CP007142.1,Gynuella sunshinyii YC6258 complete genome. [24-FEB-2017],Gynuella sunshinyii,
ENA|AE017143|AE017143.1,Haemophilus ducreyi strain 35000HP complete genome. [24-FEB-2017],Haemophilus ducreyi,
ENA|CP009610|CP009610.1,Haemophilus influenzae strain Hi375 complete genome. [11-NOV-2016],Haemophilus influenzae,
ENA|CP000057|CP000057.2,Haemophilus influenzae 86-028NP complete genome. [24-FEB-2017],Haemophilus influenzae,
ENA|CP008740|CP008740.1,Haemophilus influenzae 2019 complete genome. [11-NOV-2016],Haemophilus influenzae,
ENA|FQ312006|FQ312006.1,Haemophilus influenzae 10810 genome. [24-FEB-2017],Haemophilus influenzae,
ENA|CP007805|CP007805.1,Haemophilus influenzae CGSHiCZ412602 complete genome. [13-NOV-2015],Haemophilus influenzae,
ENA|FQ670178|FQ670178.1,Haemophilus influenzae F3031 complete genome [24-FEB-2017],Haemophilus influenzae,
ENA|FQ670204|FQ670204.1,Haemophilus influenzae F3047 complete genome [13-NOV-2015],Haemophilus influenzae,
ENA|CP005967|CP005967.1,Haemophilus influenzae KR494 complete genome. [27-FEB-2016],Haemophilus influenzae,
ENA|CP000671|CP000671.1,Haemophilus influenzae PittEE complete genome. [24-FEB-2017],Haemophilus influenzae,
ENA|CP000672|CP000672.1,Haemophilus influenzae PittGG complete genome. [24-FEB-2017],Haemophilus influenzae,
ENA|CP002276|CP002276.1,Haemophilus influenzae R2846 complete genome. [11-NOV-2016],Haemophilus influenzae,
ENA|CP002277|CP002277.1,Haemophilus influenzae R2866 complete genome. [11-NOV-2016],Haemophilus influenzae,
ENA|L42023|L42023.1,Haemophilus influenzae Rd KW20 complete genome. [24-FEB-2017],Haemophilus influenzae,
ENA|FQ312002|FQ312002.1,Haemophilus parainfluenzae T3T1 complete genome [24-FEB-2017],Haemophilus parainfluenzae,
ENA|CP009158|CP009158.1,Haemophilus parasuis strain SH03 complete genome. [13-NOV-2015],Haemophilus parasuis,
ENA|CP009237|CP009237.1,Haemophilus parasuis strain KL0318 complete genome. [13-NOV-2015],Haemophilus parasuis,
ENA|CP001321|CP001321.1,Haemophilus parasuis SH0165 complete genome. [24-FEB-2017],Haemophilus parasuis,
ENA|CP005384|CP005384.1,Haemophilus parasuis ZJ0906 complete genome. [13-NOV-2015],Haemophilus parasuis,
ENA|CP009706|CP009706.1,Hafnia alvei FB1 complete genome. [24-FEB-2017],Hafnia alvei,
ENA|CP000155|CP000155.1,Hahella chejuensis KCTC 2396 complete genome. [24-FEB-2017],Hahella chejuensis,
ENA|CP002304|CP002304.1,Halanaerobium hydrogeniformans complete genome. [24-FEB-2017],Halanaerobium hydrogeniformans,
ENA|CP002175|CP002175.1,Halanaerobium praevalens DSM 2228 complete genome. [24-FEB-2017],Halanaerobium praevalens,
ENA|CP001804|CP001804.1,Haliangium ochraceum DSM 14365 complete genome. [24-FEB-2017],Haliangium ochraceum,
ENA|CP002691|CP002691.1,Haliscomenobacter hydrossis DSM 1100 complete genome. [24-FEB-2017],Haliscomenobacter hydrossis,
ENA|KF056323|KF056323.1,Haloarcula hispanica pleomorphic virus 2 complete genome. [13-NOV-2015],Haloarcula hispanica pleomorphic virus 2,
ENA|HE717023|HE717023.1,Halobacillus halophilus DSM 2266 complete genome [24-FEB-2017],Halobacillus halophilus,
ENA|CP003359|CP003359.1,Halobacteroides halobius DSM 5150 complete genome. [24-FEB-2017],Halobacteroides halobius,
ENA|CP007757|CP007757.1,Halomonas campaniensis strain LS21 complete genome. [24-FEB-2017],Halomonas campaniensis,
ENA|FN869568|FN869568.2,Halomonas elongata DSM 2581 complete genome [24-FEB-2017],Halomonas elongata,
ENA|CP011052|CP011052.1,Halomonas sp. KO116 complete genome. [24-FEB-2017],Halomonas sp. KO116,
ENA|CP000544|CP000544.1,Halorhodospira halophila SL1 complete genome. [24-FEB-2017],Halorhodospira halophila,
ENA|CP003945|CP003945.1,Halothece sp. PCC 7418 complete genome. [24-FEB-2017],Halothece sp. PCC 7418,
ENA|CP001098|CP001098.1,Halothermothrix orenii H 168 complete genome. [24-FEB-2017],Halothermothrix orenii,
ENA|CP001801|CP001801.1,Halothiobacillus neapolitanus c2 complete genome. [24-FEB-2017],Halothiobacillus neapolitanus,
ENA|AM260522|AM260522.1,Helicobacter acinonychis str. Sheeba complete genome strain Sheeba [24-FEB-2017],Helicobacter acinonychis,
ENA|FR871757|FR871757.1,Helicobacter bizzozeronii CIII-1 main chromosome complete genome [24-FEB-2017],Helicobacter bizzozeronii,
ENA|CM000776|CM000776.2,Helicobacter canadensis MIT 98-5491 chromosome whole genome shotgun sequence. [28-AUG-2009],Helicobacter canadensis,
ENA|CP003479|CP003479.1,Helicobacter cetorum MIT 00-7128 complete genome. [24-FEB-2017],Helicobacter cetorum,
ENA|CP003481|CP003481.1,Helicobacter cetorum MIT 99-5656 complete genome. [24-FEB-2017],Helicobacter cetorum,
ENA|AP012492|AP012492.1,Helicobacter cinaedi CCUG 18818 = ATCC BAA-847 DNA complete genome. [24-FEB-2017],Helicobacter cinaedi,
ENA|AP012344|AP012344.1,Helicobacter cinaedi PAGU611 DNA complete genome. [07-OCT-2016],Helicobacter cinaedi,
ENA|FQ670179|FQ670179.2,Helicobacter felis ATCC 49179 genome. [24-FEB-2017],Helicobacter felis,
ENA|AE017125|AE017125.1,Helicobacter hepaticus ATCC 51449 complete genome. [24-FEB-2017],Helicobacter hepaticus,
ENA|FN555004|FN555004.1,Helicobacter mustelae 12198 complete genome [24-FEB-2017],Helicobacter mustelae,
ENA|AP014710|AP014710.1,Helicobacter pylori DNA complete genome strain: ML1. [11-NOV-2016],Helicobacter pylori,
ENA|AP014711|AP014711.1,Helicobacter pylori DNA complete genome strain: ML2. [11-NOV-2016],Helicobacter pylori,
ENA|AP014712|AP014712.1,Helicobacter pylori DNA complete genome strain: ML3. [11-NOV-2016],Helicobacter pylori,
ENA|CP007604|CP007604.1,Helicobacter pylori strain BM013A complete genome. [24-FEB-2017],Helicobacter pylori,
ENA|CP007606|CP007606.1,Helicobacter pylori strain BM013B complete genome. [13-NOV-2015],Helicobacter pylori,
ENA|CP007605|CP007605.1,Helicobacter pylori strain BM012B complete genome. [13-NOV-2015],Helicobacter pylori,
ENA|CP010013|CP010013.1,Helicobacter pylori strain Hp238 complete genome. [11-NOV-2016],Helicobacter pylori,
ENA|CP010436|CP010436.1,Helicobacter pylori strain 26695-1MET complete genome. [11-NOV-2016],Helicobacter pylori,
ENA|CP002096|CP002096.1,Helicobacter pylori 35A complete genome. [24-FEB-2017],Helicobacter pylori,
ENA|CP000012|CP000012.1,Helicobacter pylori 51 complete genome. [24-FEB-2017],Helicobacter pylori,
ENA|CP001680|CP001680.1,Helicobacter pylori 52 complete genome. [24-FEB-2017],Helicobacter pylori,
ENA|CP002605|CP002605.1,Helicobacter pylori 83 complete genome. [24-FEB-2017],Helicobacter pylori,
ENA|CP002184|CP002184.1,Helicobacter pylori 908 complete genome. [24-FEB-2017],Helicobacter pylori,
ENA|CP002571|CP002571.1,Helicobacter pylori 2017 complete genome. [13-NOV-2015],Helicobacter pylori,
ENA|CP002572|CP002572.1,Helicobacter pylori 2018 complete genome. [13-NOV-2015],Helicobacter pylori,
ENA|AE000511|AE000511.1,Helicobacter pylori 26695 complete genome. [24-FEB-2017],Helicobacter pylori,
ENA|CP003904|CP003904.1,Helicobacter pylori 26695 complete genome. [09-SEP-2016],Helicobacter pylori,
ENA|AP013354|AP013354.1,Helicobacter pylori 26695-1 DNA complete genome. [07-OCT-2016],Helicobacter pylori,
ENA|CP010435|CP010435.1,Helicobacter pylori 26695-1 complete genome. [11-NOV-2016],Helicobacter pylori,
ENA|AP013355|AP013355.1,Helicobacter pylori 26695-1CH DNA complete genome. [07-OCT-2016],Helicobacter pylori,
ENA|AP013356|AP013356.1,Helicobacter pylori 26695-1CL DNA complete genome. [07-OCT-2016],Helicobacter pylori,
ENA|CP003476|CP003476.1,Helicobacter pylori Aklavik86 complete genome. [24-FEB-2017],Helicobacter pylori,
ENA|CP003483|CP003483.1,Helicobacter pylori Aklavik117 complete genome. [24-FEB-2017],Helicobacter pylori,
ENA|FN598874|FN598874.1,Helicobacter pylori B8 complete genome [24-FEB-2017],Helicobacter pylori,
ENA|FM991728|FM991728.1,Helicobacter pylori B38 complete genome strain B38 [24-FEB-2017],Helicobacter pylori,
ENA|CP006888|CP006888.1,Helicobacter pylori BM012A complete genome. [13-NOV-2015],Helicobacter pylori,
ENA|CP006889|CP006889.1,Helicobacter pylori BM012S complete genome. [24-FEB-2017],Helicobacter pylori,
ENA|CP002076|CP002076.1,Helicobacter pylori Cuz20 complete genome. [09-SEP-2016],Helicobacter pylori,
ENA|CP002953|CP002953.1,Helicobacter pylori ELS37 complete genome. [24-FEB-2017],Helicobacter pylori,
ENA|AP011940|AP011940.1,Helicobacter pylori F16 DNA complete genome. [24-FEB-2017],Helicobacter pylori,
ENA|AP011941|AP011941.1,Helicobacter pylori F30 DNA complete genome. [24-FEB-2017],Helicobacter pylori,
ENA|AP011943|AP011943.1,Helicobacter pylori F32 DNA complete genome. [24-FEB-2017],Helicobacter pylori,
ENA|AP011945|AP011945.1,Helicobacter pylori F57 DNA complete genome. [24-FEB-2017],Helicobacter pylori,
ENA|CP001173|CP001173.1,Helicobacter pylori G27 complete genome. [24-FEB-2017],Helicobacter pylori,
ENA|CP002332|CP002332.1,Helicobacter pylori Gambia94/24 complete genome. [24-FEB-2017],Helicobacter pylori,
ENA|CP000241|CP000241.1,Helicobacter pylori HPAG1 complete genome. [24-FEB-2017],Helicobacter pylori,
ENA|CP003486|CP003486.1,Helicobacter pylori HUP-B14 complete genome. [24-FEB-2017],Helicobacter pylori,
ENA|CP002331|CP002331.1,Helicobacter pylori India7 complete genome. [24-FEB-2017],Helicobacter pylori,
ENA|AE001439|AE001439.1,Helicobacter pylori J99 complete genome. [24-FEB-2017],Helicobacter pylori,
ENA|CP011330|CP011330.1,Helicobacter pylori J99 complete genome. [11-NOV-2016],Helicobacter pylori,
ENA|CP007603|CP007603.1,Helicobacter pylori J166 complete genome. [24-FEB-2017],Helicobacter pylori,
ENA|CP002334|CP002334.1,Helicobacter pylori Lithuania75 complete genome. [24-FEB-2017],Helicobacter pylori,
ENA|AP014523|AP014523.1,Helicobacter pylori NY40 DNA complete genome. [24-FEB-2017],Helicobacter pylori,
ENA|AP012600|AP012600.1,Helicobacter pylori OK113 DNA complete genome. [24-FEB-2017],Helicobacter pylori,
ENA|AP012601|AP012601.1,Helicobacter pylori OK310 DNA complete genome. [24-FEB-2017],Helicobacter pylori,
ENA|CP006820|CP006820.1,Helicobacter pylori oki102 complete genome. [13-NOV-2015],Helicobacter pylori,
ENA|CP006821|CP006821.1,Helicobacter pylori oki112 complete genome. [24-FEB-2017],Helicobacter pylori,
ENA|CP006822|CP006822.1,Helicobacter pylori oki128 complete genome. [13-NOV-2015],Helicobacter pylori,
ENA|CP006823|CP006823.1,Helicobacter pylori oki154 complete genome. [13-NOV-2015],Helicobacter pylori,
ENA|CP006824|CP006824.1,Helicobacter pylori oki422 complete genome. [13-NOV-2015],Helicobacter pylori,
ENA|CP006825|CP006825.1,Helicobacter pylori oki673 complete genome. [24-FEB-2017],Helicobacter pylori,
ENA|CP006826|CP006826.1,Helicobacter pylori oki828 complete genome. [13-NOV-2015],Helicobacter pylori,
ENA|CP006827|CP006827.1,Helicobacter pylori oki898 complete genome. [13-NOV-2015],Helicobacter pylori,
ENA|CP001217|CP001217.1,Helicobacter pylori P12 complete genome. [24-FEB-2017],Helicobacter pylori,
ENA|CP002074|CP002074.1,Helicobacter pylori PeCan4 complete genome. [24-FEB-2017],Helicobacter pylori,
ENA|CP003475|CP003475.1,Helicobacter pylori PeCan18 complete genome. [24-FEB-2017],Helicobacter pylori,
ENA|CP002980|CP002980.1,Helicobacter pylori Puno120 complete genome. [24-FEB-2017],Helicobacter pylori,
